island,culmen_length_mm,culmen_depth_mm,flipper_length_mm
2,35.5,16.2,195.0
2,46.8,15.4,215.0
1,39.2,19.6,195.0
3,40.2,17.1,193.0
2,49.1,15.0,228.0
2,50.8,17.3,228.0
2,52.5,15.6,221.0
1,36.2,16.1,187.0
3,36.6,18.4,184.0
3,36.2,17.3,187.0
2,44.0,13.6,208.0
2,35.7,16.9,185.0
2,43.5,15.2,213.0
2,48.7,15.1,222.0
3,36.8,18.5,193.0
3,48.1,16.4,199.0
3,46.5,17.9,192.0
1,42.5,20.7,197.0
2,38.8,17.2,180.0
2,46.2,14.5,209.0
3,39.0,18.7,185.0
3,49.3,19.9,203.0
2,49.1,14.8,220.0
2,49.5,16.2,229.0
3,39.7,17.9,193.0
2,45.1,14.4,210.0
3,49.5,19.0,200.0
3,40.7,17.0,190.0
1,46.0,21.5,194.0
2,42.6,13.7,213.0
1,42.1,19.1,195.0
2,38.1,17.0,181.0
1,34.4,18.4,184.0
1,38.6,17.0,188.0
2,45.5,13.9,210.0
3,37.2,18.1,178.0
2,46.1,15.1,215.0
2,45.5,15.0,220.0
3,52.0,18.1,201.0
2,47.3,15.3,222.0
1,38.8,17.6,191.0
2,45.7,13.9,214.0
2,37.6,19.1,194.0
2,45.6,20.3,191.0
3,50.8,18.5,201.0
1,36.6,17.8,185.0
1,38.9,17.8,181.0
2,42.9,13.1,215.0
2,48.7,14.1,210.0
3,39.6,18.1,186.0
3,39.5,16.7,178.0
2,35.9,19.2,189.0
2,48.2,15.6,221.0
2,47.4,14.6,212.0
2,39.0,17.5,186.0
2,48.5,14.1,220.0
1,37.8,17.1,186.0
2,45.5,13.7,214.0
2,46.5,14.5,213.0
1,42.9,17.6,196.0
3,46.7,17.9,195.0
2,43.92192982456142,17.151169590643278,200.91520467836256
2,44.9,13.8,212.0
2,54.3,15.7,231.0
2,50.0,15.2,218.0
3,52.8,20.0,205.0
3,34.0,17.1,185.0
1,41.8,19.4,198.0
2,50.0,16.3,230.0
3,38.1,18.6,190.0
2,45.3,13.7,210.0
3,40.3,18.5,196.0
3,40.9,16.6,187.0
1,35.9,16.6,190.0
2,38.2,18.1,185.0
3,42.2,18.5,180.0
3,37.3,16.8,192.0
1,40.2,17.0,176.0
2,41.1,19.1,188.0
2,46.5,14.4,217.0
3,45.4,18.7,188.0
1,40.6,19.0,199.0
3,39.2,18.6,190.0
2,45.8,14.6,210.0
3,36.3,19.5,190.0
2,47.7,15.0,216.0
3,51.7,20.3,194.0
2,46.4,15.6,221.0
3,45.6,19.4,194.0
2,49.6,16.0,225.0
2,48.5,15.0,219.0
2,45.0,15.4,220.0
3,50.3,20.0,197.0
2,48.4,14.6,213.0
1,44.1,18.0,210.0
3,37.6,19.3,181.0
2,59.6,17.0,230.0
2,50.0,15.9,224.0
3,52.0,19.0,197.0
2,39.7,17.7,193.0
2,50.0,15.3,220.0
2,47.3,13.8,216.0
1,37.3,20.5,199.0
2,46.9,14.6,222.0
2,49.8,15.9,229.0
2,52.1,17.0,230.0
2,52.2,17.1,228.0
3,47.0,17.3,185.0
3,49.0,19.6,212.0
2,49.2,15.2,221.0
3,51.3,19.2,193.0
2,43.3,13.4,209.0
1,40.3,18.0,195.0
2,42.7,18.3,196.0
3,51.0,18.8,203.0
2,46.7,15.3,219.0
1,36.2,17.2,187.0
2,43.6,13.9,217.0
2,51.1,16.3,220.0
1,41.5,18.3,195.0
